year,entity,equipment_location,department,code,name,location,plancode,reason,type,approve_status,_creator,_create_time,_modifier,_modify_time,sum_or,sum_dm,sum_dc,sum_new,implementation_dm,implementation_or,implementation_new,plan_dc,plan_or,plan_new,project_code,project_name,Entity_Opreation,PROJ_TYPE_CODE,NAME,ISPAID,PAID_TYPE,PLANCODE,PROJ_TYPE,Budget_Allocation,GROUP_AMOUNT_NEW,plan,implementation,BUDGE_TYPE
2025,Y6120210005,el01,Technical,PS6100118030014001AN,1期1#二沉池1#吸泥机,1期1#二沉池,J2025000242,1,OR01,Status01,,,,,,,,,,,,,1,,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Y6120210005,0103,456,N,,J2025000242,提效技改-工艺优化技改,Eq05,2.0,1,,
2025,Y6120210005,el01,Technical,PS6100118060004005CN,1期1#二沉池1#排渣堰门,1期1#二沉池,J2025000242,1,OR01,Status01,,,,,,,,,,,,,1,,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Y6120210005,0103,456,N,,J2025000242,提效技改-工艺优化技改,Eq05,2.0,1,,
2025,Y1420210001,el01,Equipment,PS1400311010007043AN,1期1#二次提升泵房1#二次提升泵,1期1#二次提升泵房,,一级加压泵4台出水管逆止阀损坏，具备大修周期条件              ,OR01,Status01,,,,,,0.0,0.0,,,I03,,,一级加压泵4台出水管逆止阀损坏，具备大修周期条件。集采购置相同型号或适宜的相同逆止阀 ,,Y1420210001,山西太原北郊厂-TOT,,,,,,,,Eq05,2.54,一级加压泵4台出水管逆止阀损坏，具备大修周期条件。集采购置相同型号或适宜的相同逆止阀 ,I03,
2025,Y6120210005,el01,Technical,PS6100118060002037CN,1期1#二沉池1#联通闸门,1期1#二沉池,J2025000240,1,OR02,Status01,,,,,,,,,,,,,1,,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Y6120210005,0102,106,N,,J2025000240,提效技改-设备节能技改,Eq09,2.0,1,,
2025,Y6120210005,el01,Technical,PS6100118060004007BN,1期1#二沉池1#配水闸门,1期1#二沉池,J2025000242,1,OR02,Status01,,,,,,,,,,,,,1,,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Y6120210005,0103,456,N,,J2025000242,提效技改-工艺优化技改,Eq09,1.0,1,,
2025,Y1420210001,el01,Equipment,PS1400317050003245AY,1期1#污泥脱水机房3#污泥脱水机,1期1#污泥脱水机房,,由于二期改扩建和一期升级改造，污水量提升增加，原脱水机不能满足运行产生的排泥量需要增加一台脱水机。,OR02,Status01,,,,,,,,,,I03,,,由集团采购与前期同型号脱水机一台，并由生产厂家安装。辅材钢管等材料由设备厂家提供，安装位置在脱水机房预留位置。需要配置无轴螺旋输送机一台到原脱水机水平螺旋处， 污泥管路接原泥泵预留接口，药管接原药泵管路中。反冲洗管线接原来的反冲洗泵的管线。,,Y1420210001,山西太原北郊厂-TOT,,,,,,,,Eq09,56.8538,由集团采购与前期同型号脱水机一台，并由生产厂家安装。辅材钢管等材料由设备厂家提供，安装位置在脱水机房预留位置。需要配置无轴螺旋输送机一台到原脱水机水平螺旋处， 污泥管路接原泥泵预留接口，药管接原药泵管路中。反冲洗管线接原来的反冲洗泵的管线。,I03,
2025,Y6120210005,el01,Technical,ca,2期1#混凝沉淀池2#SS分析仪,2期1#混凝沉淀池,J2025000242,1,,Status01,41cba8da-cf06-4b4d-8104-46e9900ea0e5,2025-06-18 16:38:48,e0243f07-55e3-43d4-b9b0-f055a9144508,2025-06-20 09:44:15,,,,,,,I03,,,1,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Y6120210005,0103,456,N,,J2025000242,提效技改-工艺优化技改,Eq06,2.0,1,I03,
2025,Y6120210005,el01,Technical,JEde554101,1期1#污泥泵房1#气提阀,1期1#污泥泵房,J2025000241,3,,Status01,e0243f07-55e3-43d4-b9b0-f055a9144508,2025-06-30 09:37:16,e0243f07-55e3-43d4-b9b0-f055a9144508,2025-06-30 09:37:16,,,,,,,I03,,,4,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Y6120210005,0101,107,N,,J2025000241,达标技改,Eq06,3.0,4,I03,
2025,Y1420210001,el01,Equipment,NE002f8671,2期1#中控室#1#路由器,2期1#中控室,,满足SDE数据传输,,Status01,,,,,,,,,,,I03,,,新增网关,Y1420210001,山西太原北郊厂-TOT,,,,,,,,Eq06,0.5498,新增网关,I03,
2025,Y1420210001,el01,Equipment,NE35295bbd,1期1#除臭系统#1#除臭系统多功能电表,1期1#除臭系统,,满足SED填报要求，大功率设备计量,,Status01,,,,,,,,,,,I03,,,增加电表,Y1420210001,山西太原北郊厂-TOT,,,,,,,,Eq06,0.1,增加电表,I03,
2025,Y1420210001,el01,Equipment,NE39a4b307,2期1#鼓风机房#1#曝气风机多功能电表,2期1#鼓风机房,,满足SED填报要求，大功率设备计量,,Status01,,,,,,,,,,,I03,,,增加电表,Y1420210001,山西太原北郊厂-TOT,,,,,,,,Eq06,0.7,增加电表,I03,
2025,Y1420210001,el01,Equipment,NE45bf1dc6,1期2#除臭系统#1#除臭系统多功能电表,1期2#除臭系统,,满足SED填报要求，大功率设备计量,,Status01,,,,,,,,,,,I03,,,增加电表,Y1420210001,山西太原北郊厂-TOT,,,,,,,,Eq06,0.1,增加电表,I03,
2025,Y1420210001,el01,Equipment,NE64bc1dc6,1期1#污泥脱水机房#1#污泥脱水系统多功能电表,1期1#污泥脱水机房,,满足SED填报要求，大功率设备计量,,Status01,,,,,,,,,,,I03,,,增加电表,Y1420210001,山西太原北郊厂-TOT,,,,,,,,Eq06,0.1,增加电表,I03,
2025,Y1420210001,el01,Equipment,NEa133dfeb,1期1#进水提升泵房#1#进水提升泵多功能电表,1期1#进水提升泵房,,满足SED填报要求，大功率设备计量,,Status01,,,,,,,,,,,I03,,,增加电表,Y1420210001,山西太原北郊厂-TOT,,,,,,,,Eq06,0.6,增加电表,I03,
